xValues,TR-Turkcell,TR-Vodafone,TR-AVEA
2015-01-01,   25    ,0,       100
2015-01-02,   0     ,0,       100
2015-01-03,   60.0  ,0,       50
2015-01-04,   20.0  ,0,       0
2015-01-05,   25.0  ,0,       0
2015-01-06,   100   ,0,       0
2015-01-07,   50.0  ,0,       100
2015-01-08,   25.0  ,0,       0
2015-01-09,   40.0  ,50,      50
2015-01-10,   54.55 ,25,      100
2015-01-11,   20.0  ,100,     0
2015-01-12,   20.0  ,100,     0
2015-01-13,   28.57 ,20,      100
2015-01-14,   27.27 ,0,       0
2015-01-15,   41.67 ,66.67,   100
2015-01-16,   27.27 ,40,      100
2015-01-17,   43.75 ,0,       50
2015-01-18,   47.06 ,66.67,   0
2015-01-19,   50.0  ,25,      0
2015-01-20,   66.67 ,33.33,   0
2015-01-21,   25.0  ,33.33,   100
2015-01-22,   41.67 ,33.33,   0
2015-01-23,   30    ,0,       50
2015-01-24,   11.11 ,25,      100
